Cliente,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
1,5399.0,4094.36,42496.0,816789.32,2559.95,11902.0955,491796.1700000001,-0.6379927521288455,-0.17081297841463033,2
2,1923.0,7182.77,35754.399999999994,649150.79,3169.480000000001,4239.2535,321781.87000000005,-0.6668883780522318,-0.18696146404538633,2
3,60500.0,586.7099999999999,138255.0,2654764.62,533.0199999999999,133372.2496,2411309.79,0.2420127293311012,-0.1464527432609128,2
4,51496.0,4756.880000000002,270176.6,5248130.0600000005,3219.81,113522.93200000003,3581450.13,0.43851410310617633,-0.09762484852631305,2
5,66800.0,40559.83000000001,630345.0599999998,12143551.40000001,27189.820000000007,147260.60000000003,8109220.989999993,2.0219756287049964,-0.21564550088280626,3
6,485953.0,492409.22000000085,4035791.4499999993,77759354.35999992,330280.30999999726,1071283.3888000022,56778530.81999998,22.99696902356034,-2.548129274138996,1
7,183098.0,28845.88,2553721.9599999995,48907335.250000015,4387.49,403639.54249999986,14576674.370000005,5.583326383349672,1.1352456419308286,3
8,27298.0,17568.76,297523.5,5730376.089999999,11034.900000000001,60178.441000000006,3703978.1000000006,0.3975872487725885,-0.1623383281251509,2
9,14971.0,3162.79,129642.39,2504556.39,2587.7000000000003,33003.5695,2162073.3300000005,-0.3031229053910974,-0.13780868710479177,2
10,82752.0,794.66,343420.79999999993,6573559.259999999,600.4,182426.784,4968181.99,0.9386786887839591,-0.05838715600517137,2
12,15827.0,23151.290000000005,128271.31999999995,2472114.7299999995,13577.929999999995,34890.6215,1567944.84,-0.005690100245119329,-0.2791704123141619,2
13,227409.0,4170.84,1025791.8899999999,19811981.060000006,2712.770000000002,501323.137,14031141.39,4.243483192722805,0.1522864383708185,3
14,136272.0,1169.6200000000001,435368.64,8391029.55,984.0099999999998,300411.623,7057363.330000002,1.879627547772957,-0.06824747725795613,3
15,1000.0,150.94,3910.0,75469.45000000001,112.9,2204.5,56449.5,-0.8377081597097156,-0.15715573930762994,2
16,281396.0,5099.190000000001,1012253.4900000001,19549528.61,3424.1899999999973,620337.4770000001,15412818.299999999,5.030479087249764,0.07406364773818158,3
17,300.0,121.32,12132.0,12132.0,89.73,661.35,8974.2,-0.8530321753514682,-0.1511358933170388,2
18,11250.0,1948.3800000000003,36768.0,710171.39,1432.2700000000004,24800.625,708467.8,-0.5890107425927621,-0.16673768509890985,2
19,750.0,1531.44,45600.0,114999.08,520.4000000000001,1653.3749999999998,39029.28,-0.8175165806340261,-0.1398310401195053,2
21,357.0,1453.29,9255.880000000001,177286.96000000002,1029.4499999999998,787.0065,122504.79999999999,-0.8104073301943657,-0.16480529245103573,2
22,179.0,542.38,2566.86,48543.42,614.74,394.6055,55020.0,-0.8390773653481721,-0.1621230239800009,2
23,150.0,171.41,1350.0,25711.43,119.34,330.675,17901.75,-0.8538062381224165,-0.15787319288023285,2
24,2725.0,2254.7199999999993,24495.0,471457.7099999999,1544.7499999999998,6007.262499999999,323213.29,-0.7344809027904287,-0.1652536647038151,2
25,8309.0,10379.339999999998,59721.28,1166769.6500000006,6331.4400000000005,18317.190500000004,2316323.8499999996,-0.32999396455218577,-0.23630339776062187,2
