Producto,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
1,50.0,178.13,468.0,8906.37,82.93,110.225,4146.69,-0.7715670350563665,0.16241758388970953,0
2,200.0,147.37,1506.0,29474.98,64.86,440.9,12972.6,-0.7688831794264731,0.16680173379553614,0
3,1848.0,1268.2400000000002,23464.5,282762.22,930.5600000000002,4073.9159999999997,191058.11,-0.6525445774519608,0.10266054907596085,0
4,14471.0,2443.2,131541.39,2538009.49,2186.3999999999996,31901.319499999998,2260669.8100000005,-0.06275176379727648,0.24080446875951741,0
5,33600.0,8119.640000000003,256368.0,4957304.840000002,6298.999999999995,74071.19999999998,4036627.3300000005,0.7964448336120767,0.10903490455390474,0
6,1000.0,150.94,3910.0,75469.45000000001,112.9,2204.5,56449.5,-0.7506011714889523,0.1752502385559515,0
7,100.0,156.37,15637.0,15637.0,111.27,220.45,11126.85,-0.765601295808879,0.15941645620398737,0
8,1475.0,326.12,12493.25,240519.98,300.8,3251.6375,221842.36,-0.7049975166752377,0.1720954057752051,0
9,1250.0,65.84,4312.5,82301.5,52.66,2755.625,65819.5,-0.7507371764444616,0.18508782935682105,0
10,575.0,630.33,3139.5,60430.92,607.2,1267.5875,58190.979999999996,-0.7264592855492331,0.12482413152774649,0
11,237.0,90.7,1128.12,21495.54,63.21,522.4665,14980.18,-0.7703701473026181,0.1694766131164247,0
12,125.0,6055.32,7856.25,151382.72,3246.27,275.5625,81157.19,-0.4928614378482465,-0.2298477539477346,0
13,10988.0,4998.700000000001,110099.76000000002,2117405.87,5124.86,24223.046000000006,2165861.15,0.026720298441255518,-0.06549798402191861,0
14,2181.0,560.3600000000001,8871.429999999998,173912.15999999997,420.30999999999995,4808.0145,122230.88,-0.7025714298366971,0.15961307380711412,0
15,100.0,62.41,327.0,6240.6,47.87,220.45,4786.88,-0.7752984124963982,0.16929864548770684,0
16,140.0,225.0,10500.0,10500.0,287.07,308.63,13396.91,-0.7585296254624723,0.1485710449742118,0
17,1126.0,8241.02,37045.4,717055.02,4389.58,2482.267,380207.98,-0.3126482111863406,-0.3474694847599344,0
18,145453.0,3075.21,296231.3100000002,5478278.3,2112.649999999999,320651.1385,5010638.729999999,1.8504937179291439,1.8362030341988271,3
19,179.0,542.38,2566.86,48543.42,614.74,394.6055,55020.0,-0.7338039495070688,0.12302374458709849,0
20,7475.0,476.93,30722.25,592103.8400000001,436.56,16478.6375,543879.5099999999,-0.5728749691261061,0.24324562820601664,0
21,300.0,1450.66,5119.0,97992.79999999999,284.24,661.3499999999999,21317.14,-0.7215621182057479,0.10751270995940175,0
22,1250.0,6461.469999999999,11793.0,227995.07000000007,4663.0199999999995,2755.625,171197.79999999993,-0.404646039047955,-0.30706654072566747,0
23,2550.0,6651.739999999999,21012.5,406158.9200000001,2511.74,5621.475,159457.3499999999,-0.45105584230531137,-0.1787758737572367,0
24,475.0,2632.4399999999996,4831.0,93513.1,978.5100000000001,1047.1374999999996,35172.26,-0.6645239314266581,0.026928533732628934,0
25,274.0,3160.38,4884.5599999999995,94421.97,2141.31,604.033,64986.74999999999,-0.6085594669246998,-0.058800774207308844,0
26,4500.0,4491.909999999999,635260.0,710300.31,3715.5900000000024,9920.249999999996,597300.79,-0.22225364126773792,-0.24859913922545226,0
27,175.0,352.27,1592.5,30678.18,159.68,385.7875,13971.67,-0.7604798591294284,0.15357573929799642,0
28,150.0,238.21,930.0,17923.9,131.72,330.675,9878.259999999998,-0.7659795516021004,0.15887679468389168,0
29,100.0,343.06,910.0,17152.51,171.2,220.45,8560.4,-0.7626911688297514,0.1521018107731232,0
30,675.0,4317.29,6746.5,130078.98999999999,1826.6599999999999,1488.0374999999995,56136.13999999999,-0.5853000060841081,-0.08031279825092816,0
31,499.0,4404.170000000001,5697.53,109878.70999999999,2102.04,1100.0454999999997,52445.08000000002,-0.5770336650224748,-0.10124161399196165,0
32,139.0,1324.1399999999999,3199.7,61864.66999999999,570.59,306.42550000000006,37182.71,-0.7173331289418905,0.09497021225936163,0
33,75.0,418.03,806.25,15585.41,100.64,165.33749999999998,5032.22,-0.7641487155152501,0.1527865505780826,0
34,224.0,686.98,1612.8,30809.179999999997,198.75,493.808,8904.31,-0.7508057884677535,0.13914492158540326,0
35,414.0,5086.81,12084.66,233785.53999999998,3634.2000000000007,912.663,240662.70000000004,-0.477265137355449,-0.2040941742275887,0
36,45100.0,2393.800000000001,149779.75,2884088.1599999997,1703.5299999999997,99422.95069999999,2211768.6800000006,0.26690492346745714,0.6139165425291172,0
37,1500.0,246.76,9450.0,185068.78999999998,187.74,3306.75,140803.65000000002,-0.7232201299521912,0.1776503346201416,0
38,908.0,361.08,8626.0,163933.68,278.14,2001.686,126278.28,-0.7264751332766428,0.16079336558041932,0
39,590.0,439.35,4507.6,86712.02,291.12,1300.6550000000002,57256.2,-0.740439958098838,0.14994442031279298,0
40,800.0,4916.65,9455.0,182129.09999999998,1688.1900000000007,1763.5999999999995,64312.71999999998,-0.5693098436662892,-0.09298008791330879,0
41,1225.0,4602.88,16099.25,311802.96,2041.0199999999993,2700.5124999999994,147073.41,-0.5412644904416163,-0.09157514256053483,0
42,125.0,976.5600000000001,1266.0,24413.949999999997,479.3,275.5625,11982.4,-0.734790930501866,0.11158140036023562,0
43,75.0,1213.42,1572.0,30335.52,688.95,165.33749999999998,17223.69,-0.7209215929052921,0.0906804499400062,0
44,145.0,1213.71,4515.299999999999,87804.7,219.3,319.65250000000003,15899.62,-0.7327473857738488,0.11800034477316983,0
45,260.0,711.6800000000001,23129.600000000006,23129.600000000006,703.14,573.1700000000001,22808.0,-0.7252887879845902,0.10634282730331425,0
46,2050.0,173.75000000000003,2644.5,50960.149999999994,78.82000000000001,4519.225,23089.559999999998,-0.745351912633772,0.18643012558080072,0
