MONTH,Fecha de la,Ty,Clase,Invoice#, Cliente , Nombre del producto , KG , Precio uni / Venta , Foreign Amount , CurFrm , Revenue , SalesDiv , CurTo , Std RMCost , Std MfgCost , Exchange , SO Std. Cost , T.C. , Dollars , Lbs , COST PESOS , Mes ,,
1,01/03/2019,Venta,NAC,27958,Cliente 6,Producto 70,25,588.2216, 750.75 , USD ," 14,705.54 ",MCO,MXP, 196.09 , 28.66 , 19.5878 ,224.7542, 19.59 , 750.75 ,55.1125," 5,618.86 ",Enero,,
1,01/03/2019,Venta,NAC,27953,Cliente 6,Producto 53,500,79.9182," 2,040.00 ", USD ," 39,959.10 ",MCO,MXP, 51.29 , 13.59 , 19.5878 ,64.8801, 19.59 ," 2,040.00 ","1,102.2500"," 32,440.05 ",Enero,,
1,01/03/2019,Venta,NAC,27960,Cliente 6,Producto 213,25,211.5482, 270.00 , USD ," 5,288.71 ",MCO,MXP, 61.58 , 47.53 , 19.5878 ,109.1111, 19.59 , 270.00 ,55.1125," 2,727.78 ",Enero,,
1,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 133,300,217.4246," 3,330.00 ", USD ," 65,227.38 ",MCO,MXP, 94.42 , 26.35 , 19.5878 ,120.7717, 19.59 ," 3,330.00 ",661.3500," 36,231.51 ",Enero,,
1,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 5,1200,149.4549," 9,156.00 ", USD ," 179,345.88 ",MCO,MXP, 97.51 , 16.60 , 19.5878 ,114.1115, 19.59 ," 9,156.00 ","2,645.4000"," 136,933.80 ",Enero,,
1,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 140,1000,244.8475," 12,500.00 ", USD ," 244,847.50 ",MCO,MXP, 151.47 , 15.98 , 19.5878 ,167.4535, 19.59 ," 12,500.00 ","2,204.5000"," 167,453.50 ",Enero,,
1,01/03/2019,Venta,NAC,27951,Cliente 26,Producto 173,4000,75.0213," 15,320.00 ", USD ," 300,085.20 ",MAD,MXP, 57.40 , 2.30 , 19.5878 ,59.6985, 19.59 ," 15,320.01 ","8,818.0000"," 238,794.00 ",Enero,,
1,01/03/2019,Venta,NAC,27946,Cliente 5,Producto 134,500,176.8778," 4,515.00 ", USD ," 88,438.90 ",MCO,MXP, 102.41 , 28.02 , 19.5878 ,130.4268, 19.59 ," 4,515.00 ","1,102.2500"," 65,213.40 ",Enero,,
1,01/03/2019,Venta,NAC,27946,Cliente 5,Producto 134,50,176.8778, 451.50 , USD ," 8,843.89 ",MCO,MXP, 102.41 , 28.02 , 19.5878 ,130.4268, 19.59 , 451.50 ,110.2250," 6,521.34 ",Enero,,
1,01/03/2019,Venta,NAC,27947,Cliente 5,Producto 107,900,195.6821," 8,991.00 ", USD ," 176,113.89 ",MCO,MXP, 92.74 , 20.32 , 19.5878 ,113.0657, 19.59 ," 8,991.00 ","1,984.0500"," 101,759.13 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 137,75,188.4346, 721.50 , USD ," 14,132.60 ",MCO,MXP, 81.85 , 45.97 , 19.5878 ,127.8235, 19.59 , 721.50 ,165.3375," 9,586.76 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 136,75,186.8676, 715.50 , USD ," 14,015.07 ",MCO,MXP, 47.30 , 27.94 , 19.5878 ,75.2387, 19.59 , 715.50 ,165.3375," 5,642.90 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 136,25,186.8676, 238.50 , USD ," 4,671.69 ",MCO,MXP, 47.30 , 27.94 , 19.5878 ,75.2387, 19.59 , 238.50 ,55.1125," 1,880.97 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 135,75,215.6617, 825.75 , USD ," 16,174.63 ",MCO,MXP, 65.68 , 24.64 , 19.5878 ,90.3213, 19.59 , 825.75 ,165.3375," 6,774.10 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 144,25,285.9819, 365.00 , USD ," 7,149.55 ",MCO,MXP, 159.15 , 29.22 , 19.5878 ,188.3661, 19.59 , 365.00 ,55.1125," 4,709.15 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 178,50,756.285," 1,930.50 ", USD ," 37,814.25 ",MCO,MXP, 362.40 , 39.36 , 19.5878 ,401.758, 19.59 ," 1,930.50 ",110.2250," 20,087.90 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 178,25,756.285, 965.25 , USD ," 18,907.13 ",MCO,MXP, 362.40 , 39.36 , 19.5878 ,401.758, 19.59 , 965.25 ,55.1125," 10,043.95 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 212,25,198.0327, 252.75 , USD ," 4,950.82 ",MCO,MXP, 44.72 , 143.49 , 19.5878 ,188.2167, 19.59 , 252.75 ,55.1125," 4,705.42 ",Enero,,
1,01/03/2019,Venta,NAC,27957,Cliente 6,Producto 112,125,204.1049," 1,302.50 ", USD ," 25,513.11 ",MCO,MXP, 50.55 , 25.45 , 19.5878 ,76.0009, 19.59 ," 1,302.50 ",275.5625," 9,500.11 ",Enero,,
1,01/03/2019,Venta,NAC,27961,Cliente 6,Producto 222,1000,122.4238," 6,250.00 ", USD ," 122,423.80 ",MWH,MXP, 59.49 , 2.38 , 19.5878 ,61.8644, 19.59 ," 6,250.00 ","2,204.5000"," 61,864.40 ",Enero,,
1,01/03/2019,Venta,NAC,27956,Cliente 6,Producto 189,50,183.5377, 468.50 , USD ," 9,176.89 ",MCO,MXP, 112.00 , 29.34 , 19.5878 ,141.3384, 19.59 , 468.50 ,110.2250," 7,066.92 ",Enero,,
1,01/03/2019,Venta,NAC,27956,Cliente 6,Producto 155,300,193.1357," 2,958.00 ", USD ," 57,940.71 ",MCO,MXP, 102.60 , 21.53 , 19.5878 ,124.1291, 19.59 ," 2,958.00 ",661.3500," 37,238.73 ",Enero,,
1,01/03/2019,Venta,NAC,27945,Cliente 86,Producto 63,350,150.8261," 2,695.00 ", USD ," 52,789.14 ",MCO,MXP, 54.24 , 16.98 , 19.5878 ,71.2154, 19.59 ," 2,695.00 ",771.5750," 24,925.39 ",Enero,,
1,01/03/2019,Venta,NAC,27945,Cliente 86,Producto 63,21,150.8261, 161.70 , USD ," 3,167.35 ",MCO,MXP, 54.24 , 16.98 , 19.5878 ,71.2154, 19.59 , 161.70 ,46.2945," 1,495.52 ",Enero,,
1,01/03/2019,Venta,NAC,27955,Cliente 6,Producto 219,1808,85.7946," 7,919.04 ", USD ," 155,116.64 ",MWH,MXP, 64.72 , 2.59 , 19.5878 ,67.3093, 19.59 ," 7,919.04 ","3,985.7360"," 121,695.21 ",Enero,,
1,01/03/2019,Venta,NAC,27949,Cliente 6,Producto 107,500,124.7743," 3,185.00 ", USD ," 62,387.15 ",MCO,MXP, 33.63 , 16.92 , 19.5878 ,50.547, 19.59 ," 3,185.00 ","1,102.2500"," 25,273.50 ",Enero,,
1,01/03/2019,Venta,NAC,27959,Cliente 6,Producto 67,25,276.5797, 353.00 , USD ," 6,914.49 ",MCO,MXP, 79.76 , 33.18 , 19.5878 ,112.9376, 19.59 , 353.00 ,55.1125," 2,823.44 ",Enero,,
1,01/03/2019,Venta,NAC,27959,Cliente 6,Producto 66,25,435.6327, 556.00 , USD ," 10,890.82 ",MCO,MXP, 146.34 , 65.81 , 19.5878 ,212.1426, 19.59 , 556.00 ,55.1125," 5,303.57 ",Enero,,
1,01/03/2019,Venta,NAC,27964,Cliente 122,Producto 107,25,116.3515, 148.50 , USD ," 2,908.79 ",MCO,MXP, 36.68 , 36.22 , 19.5878 ,72.899, 19.59 , 148.50 ,55.1125," 1,822.48 ",Enero,,
1,01/03/2019,Venta,NAC,27950,Cliente 29,Producto 111,200,73.846, 754.00 , USD ," 14,769.20 ",MBK,MXP, 56.91 , 2.28 , 19.5878 ,59.182, 19.59 , 754.00 ,440.9000," 11,836.40 ",Enero,,
1,01/03/2019,Venta,NAC,27950,Cliente 29,Producto 222,50,120.465, 307.50 , USD ," 6,023.25 ",MWH,MXP, 59.49 , 2.38 , 19.5878 ,61.8644, 19.59 , 307.50 ,110.2250," 3,093.22 ",Enero,,
1,01/03/2019,Venta,NAC,27944,Cliente 71,Producto 130,800,106.7535," 4,360.00 ", USD ," 85,402.80 ",MCO,MXP, 86.26 , 11.96 , 19.5878 ,98.2245, 19.59 ," 4,360.00 ","1,763.6000"," 78,579.60 ",Enero,,
1,01/03/2019,Venta,NAC,27963,Cliente 48,Producto 18,200,94.0214, 960.00 , USD ," 18,804.28 ",MBK,MXP, 28.76 , 1.15 , 19.5878 ,29.914, 19.59 , 960.00 ,440.9000," 5,982.80 ",Enero,,
1,01/03/2019,Venta,NAC,27948,Cliente 16,Producto 219,9792,59.5469," 29,767.68 ", USD ," 583,083.24 ",MWH,MXP, 50.04 , 1.75 , 19.5878 ,51.7888, 19.59 ," 29,767.67 ","21,586.4640"," 507,115.93 ",Enero,,
1,01/03/2019,Venta,NAC,27962,Cliente 14,Producto 219,15504,62.681," 49,612.80 ", USD ," 971,806.22 ",MWH,MXP, 50.04 , 1.75 , 19.5878 ,51.7888, 19.59 ," 49,612.83 ","34,178.5680"," 802,933.56 ",Enero,,
1,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 5,1000,149.4549," 7,630.00 ", USD ," 149,454.90 ",MCO,MXP, 97.51 , 16.60 , 19.5878 ,114.1115, 19.59 ," 7,630.00 ","2,204.5000"," 114,111.50 ",Enero,,
1,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 155,300,193.1357," 2,958.00 ", USD ," 57,940.71 ",MCO,MXP, 102.60 , 21.53 , 19.5878 ,124.1291, 19.59 ," 2,958.00 ",661.3500," 37,238.73 ",Enero,,
1,01/03/2019,Venta,NAC,27954,Cliente 6,Producto 127,400,44.4643, 908.00 , USD ," 17,785.72 ",MBK,MXP, 32.69 , 1.31 , 19.5878 ,33.9944, 19.59 , 908.00 ,881.8000," 13,597.76 ",Enero,,
1,01/03/2019,Venta,NAC,27965,Cliente 127,Producto 18,4896,36.8251," 9,204.48 ", USD ," 180,295.69 ",MBK,MXP, 32.69 , 1.14 , 19.5878 ,33.8309, 19.59 ," 9,204.49 ","10,793.2320"," 165,636.09 ",Enero,,
1,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,200,192.5437," 1,964.00 ", USD ," 38,508.74 ",MCO,MXP, 94.42 , 32.62 , 19.6073 ,127.0362, 19.61 ," 1,964.00 ",440.9000," 25,407.24 ",Enero,,
1,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,150,231.9544," 1,774.50 ", USD ," 34,793.16 ",MCO,MXP, 112.36 , 30.65 , 19.6073 ,143.0146, 19.61 ," 1,774.50 ",330.6750," 21,452.19 ",Enero,,
1,01/04/2019,Venta,NAC,27968,Cliente 90,Producto 107,275,150.5841," 2,112.00 ", USD ," 41,410.63 ",MCO,MXP, 66.04 , 31.85 , 19.6073 ,97.8912, 19.61 ," 2,112.00 ",606.2375," 26,920.08 ",Enero,,
1,01/04/2019,Venta,NAC,27972,Cliente 123,Producto 219,9482,77.4488," 37,453.90 ", USD ," 734,369.52 ",MWH,MXP, 57.73 , 2.31 , 19.6073 ,60.037, 19.61 ," 37,453.88 ","20,903.0690"," 569,270.83 ",Enero,,
1,01/04/2019,Venta,NAC,27970,Cliente 152,Producto 127,350,42.3518, 756.00 , USD ," 14,823.13 ",MBK,MXP, 32.69 , 1.31 , 19.6073 ,33.9944, 19.61 , 756.00 ,771.5750," 11,898.04 ",Enero,,
1,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 134,50,506.8487," 1,292.50 ", USD ," 25,342.44 ",MCO,MXP, 234.40 , 52.51 , 19.6073 ,286.915, 19.61 ," 1,292.50 ",110.2250," 14,345.75 ",Enero,,
1,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 220,1000,127.0553," 6,480.00 ", USD ," 127,055.30 ",MWH,MXP, 51.28 , 2.05 , 19.6073 ,53.3359, 19.61 ," 6,480.00 ","2,204.5000"," 53,335.90 ",Enero,,
1,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 130,475,134.8982," 3,268.00 ", USD ," 64,076.65 ",MCO,MXP, 63.53 , 29.62 , 19.6073 ,93.1466, 19.61 ," 3,268.00 ","1,047.1375"," 44,244.64 ",Enero,,
