Month,Operacion,Clase,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,lbs,Costo_Tot_Manufactura
1.0,1,2,6,70,25.0,588.22,750.75,1,14705.54,224.75,19.59,55.1125,5618.86
1.0,1,2,6,53,500.0,79.92,2040.0,1,39959.1,64.88,19.59,1102.25,32440.05
1.0,1,2,6,213,25.0,211.55,270.0,1,5288.71,109.11,19.59,55.1125,2727.78
1.0,1,2,6,133,300.0,217.42,3330.0,1,65227.38,120.77,19.59,661.35,36231.51
1.0,1,2,6,5,1200.0,149.45,9156.0,1,179345.88,114.11,19.59,2645.4,136933.8
1.0,1,2,6,140,1000.0,244.85,12500.0,1,244847.5,167.45,19.59,2204.5,167453.5
1.0,1,2,26,173,4000.0,75.02,15320.0,1,300085.19,59.7,19.59,8818.0,238794.0
1.0,1,2,5,134,500.0,176.88,4515.0,1,88438.9,130.43,19.59,1102.25,65213.4
1.0,1,2,5,134,50.0,176.88,451.5,1,8843.89,130.43,19.59,110.225,6521.34
1.0,1,2,5,107,900.0,195.68,8991.0,1,176113.89,113.07,19.59,1984.05,101759.13
1.0,1,2,6,137,75.0,188.43,721.5,1,14132.6,127.82,19.59,165.3375,9586.76
1.0,1,2,6,136,75.0,186.87,715.5,1,14015.07,75.24,19.59,165.3375,5642.9
1.0,1,2,6,136,25.0,186.87,238.5,1,4671.69,75.24,19.59,55.1125,1880.97
1.0,1,2,6,135,75.0,215.66,825.75,1,16174.63,90.32,19.59,165.3375,6774.1
1.0,1,2,6,144,25.0,285.98,365.0,1,7149.55,188.37,19.59,55.1125,4709.15
1.0,1,2,6,178,50.0,756.28,1930.5,1,37814.25,401.76,19.59,110.225,20087.9
1.0,1,2,6,178,25.0,756.28,965.25,1,18907.13,401.76,19.59,55.1125,10043.95
1.0,1,2,6,212,25.0,198.03,252.75,1,4950.82,188.22,19.59,55.1125,4705.42
1.0,1,2,6,112,125.0,204.1,1302.5,1,25513.11,76.0,19.59,275.5625,9500.11
1.0,1,2,6,222,1000.0,122.42,6250.0,1,122423.8,61.86,19.59,2204.5,61864.4
1.0,1,2,6,189,50.0,183.54,468.5,1,9176.89,141.34,19.59,110.225,7066.92
1.0,1,2,6,155,300.0,193.14,2958.0,1,57940.71,124.13,19.59,661.35,37238.73
1.0,1,2,86,63,350.0,150.83,2695.0,1,52789.14,71.22,19.59,771.575,24925.39
1.0,1,2,86,63,21.0,150.83,161.7,1,3167.35,71.22,19.59,46.2945,1495.52
1.0,1,2,6,219,1808.0,85.79,7919.04,1,155116.64,67.31,19.59,3985.736,121695.21
1.0,1,2,6,107,500.0,124.77,3185.0,1,62387.15,50.55,19.59,1102.25,25273.5
