Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/03/2019,Venta,NAC,27958,Cliente 6,Producto 70,25.0,588.22,750.75, USD ,14705.54,MXP,224.75,19.59,750.75,55.1125,5618.86,Enero
1.0,01/03/2019,Venta,NAC,27953,Cliente 6,Producto 53,500.0,79.92,2040.0, USD ,39959.1,MXP,64.88,19.59,2040.0,1102.25,32440.05,Enero
1.0,01/03/2019,Venta,NAC,27960,Cliente 6,Producto 213,25.0,211.55,270.0, USD ,5288.71,MXP,109.11,19.59,270.0,55.1125,2727.78,Enero
1.0,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 133,300.0,217.42,3330.0, USD ,65227.38,MXP,120.77,19.59,3330.0,661.35,36231.51,Enero
1.0,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 5,1200.0,149.45,9156.0, USD ,179345.88,MXP,114.11,19.59,9156.0,2645.4,136933.8,Enero
1.0,01/03/2019,Venta,NAC,27952,Cliente 6,Producto 140,1000.0,244.85,12500.0, USD ,244847.5,MXP,167.45,19.59,12500.0,2204.5,167453.5,Enero
1.0,01/03/2019,Venta,NAC,27951,Cliente 26,Producto 173,4000.0,75.02,15320.0, USD ,300085.19,MXP,59.7,19.59,15320.01,8818.0,238794.0,Enero
1.0,01/03/2019,Venta,NAC,27946,Cliente 5,Producto 134,500.0,176.88,4515.0, USD ,88438.9,MXP,130.43,19.59,4515.0,1102.25,65213.4,Enero
1.0,01/03/2019,Venta,NAC,27946,Cliente 5,Producto 134,50.0,176.88,451.5, USD ,8843.89,MXP,130.43,19.59,451.5,110.225,6521.34,Enero
1.0,01/03/2019,Venta,NAC,27947,Cliente 5,Producto 107,900.0,195.68,8991.0, USD ,176113.89,MXP,113.07,19.59,8991.0,1984.05,101759.13,Enero
